id,name,description,category,muscles,muscles_secondary,equipment,images,difficulty,style
1697,Lat Pulldown (Wide Grip),"<h3 data-start=""1130"" data-end=""1147"" style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0);""><strong data-start=""1134"" data-end=""1147"">Execution</strong></h3><ol data-start=""1148"" data-end=""1818"" style=""caret-color: rgb(0, 0, 0); color: rgb(0, 0, 0);""><li data-start=""1148"" data-end=""1295""><p data-start=""1151"" data-end=""1175""><strong data-start=""1151"" data-end=""1173"">Starting position:</strong></p><ul data-start=""1179"" data-end=""1295""><li data-start=""1179"" data-end=""1238""><p data-start=""1181"" data-end=""1238"">Arms extended overhead, feeling a stretch in your lats.</p></li><li data-start=""1242"" data-end=""1295""><p data-start=""1244"" data-end=""1295"">Keep your shoulders depressed (don’t shrug upward).</p></li></ul></li><li data-start=""1297"" data-end=""1536""><p data-start=""1300"" data-end=""1333""><strong data-start=""1300"" data-end=""1331"">Pulling phase (concentric):</strong></p><ul data-start=""1337"" data-end=""1536""><li data-start=""1337"" data-end=""1443""><p data-start=""1339"" data-end=""1443"">Pull the bar&nbsp;<strong data-start=""1352"" data-end=""1399"">down to your upper chest or collarbone area</strong>&nbsp;by driving your&nbsp;<strong data-start=""1416"" data-end=""1440"">elbows down and back</strong>.</p></li><li data-start=""1447"" data-end=""1536""><p data-start=""1449"" data-end=""1536"">Keep your&nbsp;<strong data-start=""1459"" data-end=""1475"">chest lifted</strong>&nbsp;and squeeze your&nbsp;<strong data-start=""1493"" data-end=""1521"">shoulder blades together</strong>&nbsp;at the bottom.</p></li></ul></li></ol>",Back,[12],[],[],[],beginner,['mixed']
1012,Alternating bicep curls,"<p>Starting position:</p><p>Start standing up with dumbbells in each hand, your back straight and feet hip-width apart. Your arms should be relaxed, pointing down. Your knees should be slightly bent, your abs contracted, and your shoulders down.</p><p>Steps:</p><ol><li>Bend one arm at the elbow, bringing the dumbbell up to your shoulder. Your upper arm should remain motionless during this movement.</li><li>Bring the dumbbell back down until your arm is in its original relaxed position.</li><li>Repeat, switching arms.</li></ol>",Arms,[],[],[3],['https://wger.de/media/exercise-images/1012/8270fdb8-28f1-4eff-b410-af8642085b3f.png'],beginner,['mixed']
1013,Left levator scapulae stretch,"<p>Starting position:</p><p>Start standing up or sitting down. Turn your head to the left, around 45 degrees or just above your nipple. Place your right hand behind your back or sit on it. Take your left hand and use it to hold the back of your head. Lean your head down slightly.</p><p>Steps:</p><ol><li>After assuming the starting position, press your head against your left hand with slight force. Your hand should press back with equal force, so that your head doesn't move. Hold this position.</li></ol>",Back,[],[],[7],[],beginner,['mixed']
1014,Right levator scapulae stretch,"<p>Starting position:</p><p>Start standing up or sitting down. Turn your head to the right, around 45 degrees or just above your nipple. Place your left hand behind your back or sit on it. Take your right hand and use it to hold the back of your head. Lean your head down slightly.</p><p>Steps:</p><ol><li>After assuming the starting position, press your head against your right hand with slight force. Your hand should press back with equal force, so that your head doesn't move. Hold this position.</li></ol>",Back,[],[],[7],[],beginner,['mixed']
1015,Clockwise neck circles,"<p>Starting position:</p><p>Start sitting or standing. Drop your head down, bringing your chin toward your chest, but not pushing.</p><p>Steps:</p><p>In a slower fluid motion and with your head relaxed and not pushing in any direction:</p><ol><li>lean toward your right shoulder.</li><li>then bring your head back, facing up.</li><li>then lean toward your left shoulder.4.and back toward the starting position.</li></ol><p>Keep repeating this as part of one slower fluid motion.</p>",Back,[],[],[7],[],beginner,['mixed']
1016,Counterclockwise neck circles,"<p>Starting position:</p><p>Start sitting or standing. Drop your head down, bringing your chin toward your chest, but not pushing.</p><p>Steps:</p><p>In a slower fluid motion and with your head relaxed and not pushing in any direction:</p><ol><li>lean toward your left shoulder.</li><li>then bring your head back, facing up.</li><li>then lean toward your right shoulder.4.and back toward the starting position.</li></ol><p>Keep repeating this as part of one slower fluid motion.</p>",Back,[],[],[7],[],beginner,['mixed']
1017,Neck half circles,"<p>Starting position:</p><p>Start sitting or standing. Lean your head against one of your shoulders, but don't push.</p><p>Steps:</p><p>In one slower fluid motion and with your head relaxed and not pushing in any direction:</p><ol><li>bring your head down toward your chest.</li><li>then lean back aganst your other shoulder.</li><li>then back toward the chest again.4.and finally toward the starting position.</li></ol><p>Keep repeating this.</p>",Back,[],[],[7],[],beginner,['mixed']
1018,Head tilts,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Tilt your head to one side and hold for a bit.2.Return your head to neutral position and hold for a bit.</li><li>Tilt your head to the other side and hold for a bit.</li><li>Return your head to neutral position yet again and hold for a bit.</li><li>Repeat.</li></ol>,Back,[],[],[7],[],beginner,['mixed']
1019,Side plank right,"<p>Starting position:</p><p>Lie down on your side, with your bottom elbow at a right angle, arm sticking out. Lift your pelvis off the floor by lifting your bottom shoulder up, keeping the forearm on the floor; your head, pelvis, and feet should be in a straight line.</p><p>Steps:</p><ol><li>Hold this position.</li></ol>",Abs,[],[],[7],[],beginner,['mixed']
1020,Pistol squats right,"<ol><li>Stand on one leg, with your other leg straight and slightly forward.</li><li>Bend one knee slowly, descending into a squat and keeping your back and your other leg straight.</li><li>Slowly raise yourself from the squat, straightening the bent knee and keeping the other leg straight.</li><li>Repeat.</li></ol>",Legs,[],[],[7],[],beginner,['mixed']
1021,"Calf raises, right leg",<ol><li>Stand on the floor or on the edge of a step to increase the range of movement.&nbsp;</li><li>Raise one foot.</li><li>Lift your heel until you're standing on your toes.</li><li><i>(variable) </i>Stay in this position for three seconds</li><li>Slowly lower your foot until you almost touch the ground with your heel - don't slam your foot!</li></ol>,Calves,[],[],[7],[],beginner,['mixed']
910,Nordic Curl,"<p style="""">The Nordic hamstring curl is one of the best lower-body exercises to&nbsp;build posterior leg strength, improve knee health, and prevent injury.</p>",Legs,[11],[8],[],[],beginner,['mixed']
913,Reverse Preacher Curl (Close Grip),Sitting reverse on a Biceps Bench with a close grip,Arms,[1],[],[2],[],beginner,['mixed']
925,SMITH MACHINE SLIGHT INCLINE PRESS,"laying under smith machine, with slight incline",Chest,[4],[],[],[],beginner,['mixed']
158,Close-grip Lat Pull Down,"<p>Grip the pull-down bar with your hands closer than shoulder width apart, with your palms facing away from you. Lean back slightly. Pull the bar down towards your chest, keeping your elbows close to your sides as you come down. Pull your shoulders back at the end of the motion.</p>",Back,[12],[],[],['https://wger.de/media/exercise-images/158/02e8a7c3-dc67-434e-a4bc-77fdecf84b49.webp'],beginner,['mixed']
124,Braced Squat,"<p>Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can.</p>
<p>Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back.</p>
<p>Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position.</p>",Legs,[10],[8],[],[],beginner,['mixed']
51,Barbell Wrist Curl,"<p>Sitting on a bench, grab a barbell with your palms facing up and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Perform the movement by curling your palms and wrists towards your face.</p>
<p>Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>
<p> </p>",Arms,"[2, 11]","[1, 14]","[1, 8]",['https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp'],beginner,['mixed']
146,Calf Press Using Leg Press Machine,"<p>Put  the balls of your feet on an extended leg press pad.  Use your calves to press the weight by flexing your feet/toes into a pointed position, and releasing back into a relaxed position.</p>
<p>This exercise builds mass and strength in the Gastrocnemius and Soleus muscles as well, if not better, than any calf exercise.</p>",Calves,"[7, 15]",[],[],['https://wger.de/media/exercise-images/146/8b284904-d072-4381-a256-4c81d8fd9c1f.png'],beginner,['mixed']
154,Chin-ups,"<p>The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin.</p>",Back,[12],[],[6],"['https://wger.de/media/exercise-images/181/Chin-ups-2.png', 'https://wger.de/media/exercise-images/181/Chin-ups-1.png']",beginner,['mixed']
148,Calf Raises on Hackenschmitt Machine,"<p>Place yourself on the machine with your back firmly against the backrest, the feet are on the platform for calf raises. Check that the feet are half free and that you can completely stretch the calf muscles down.</p>
<p>With straight knees pull up your weight as much as you can. Go with a fluid movement down till the calves are completely stretched. Repeat.</p>",Calves,[7],[15],[],[],beginner,['mixed']
137,Butterfly Narrow Grip,"<p>The movement is the same as with a regular butterfly, only that the grip is narrow:</p>
<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",Chest,[4],[],[],[],beginner,['mixed']
165,Ball crunches,,Abs,[],[],[],[],beginner,['mixed']
135,Butterfly,"<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",Chest,[4],[2],[],"['https://wger.de/media/exercise-images/98/Butterfly-machine-2.png', 'https://wger.de/media/exercise-images/98/Butterfly-machine-1.png']",beginner,['mixed']
172,Crunches on Machine,"<p>The procedure is very similar as for regular crunches, only with the additional weight of the machine. Sit on the machine, put both feet firmly on the ground. Grab the to the weights, cables, etc. and do a rolling motion forwards (the spine should ideally lose touch vertebra by vertebra). Slowly return to the starting position. </p>",Abs,[6],[],[],[],beginner,['mixed']
132,Burpees,"<p>Jump, lay down on your chest, do a pushup then jump, repeat</p>",Chest,[],[],[],[],beginner,['mixed']
171,Incline Crunches,"<p>Lay down on your back on a inclined bench, feet are on one end of the bench. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.</p>",Abs,[6],[],[9],"['https://wger.de/media/exercise-images/56/Decline-crunch-1.png', 'https://wger.de/media/exercise-images/56/Decline-crunch-2.png']",beginner,['mixed']
139,Butterfly Reverse,,Shoulders,[2],[],[],[],beginner,['mixed']
167,Crunches,"<p>Lay down on your back a soft surface, the feet are on the floor. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.</p>",Abs,[6],[3],[4],"['https://wger.de/media/exercise-images/91/Crunches-1.png', 'https://wger.de/media/exercise-images/91/Crunches-2.png']",beginner,['mixed']
174,Crunches With Legs Up,"<p>On your back, legs extended straight up, reach toward your toes with your hands and lift your shoulder blades off the ground and back.</p>",Abs,[6],[14],[],[],beginner,['mixed']
129,Chest Press,,Chest,[4],[],[],[],beginner,['mixed']
161,Cross-Bench Dumbbell Pullovers,"<p>Grasp a moderately weighted dumbbell so your palms are flat against the underside of the top plates and your thumbs are around the bar. Lie on your back across a flat bench so only your upper back and shoulders are in contact with the bench. Your feet should be set about shoulder-width apart and your head should hang slightly downward. With the dumbbell supported at arm's length directly about your chest, bend your arms about 15 degrees and keep them bent throughout the movement. Slowly lower the dumbbell backward and downward in a semicircle arc to as low a position as is comfortably possible. Raise it slowly back along the same arc to the starting point, and repeat for the required number of repetitions.</p>",Chest,"[12, 4, 3]",[],[3],[],beginner,['mixed']
182,Deadhang,<p>Deadhang performed on an edge either with or without added weight (adujst edge or weight to adjust difficulty)</p>,Arms,[],[],[],[],beginner,['mixed']
177,Cycling,"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport. People engaged in cycling are referred to as cyclists, bicyclists, or bikers. Apart from two-wheeled bicycles, cycling also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles.",Cardio,"[14, 9]","[11, 13, 8, 12, 10]",[7],[],beginner,['mixed']
145,Cable Woodchoppers,"<p>Set cable pulley slightly lower than chest height. Keep body facing forward with hips stable.  Grab the pulley handle, fully extend your arms and bring your arms forward and across your body. Hold for 1 second at the end of the movement and slowly return to starting position.</p>",Abs,[14],[],[],[],beginner,['mixed']
178,Deadbug,"Lie on your back, with your hips and knees bent to 90°. Raise both arms toward the ceiling. Pull your lower back to the floor to eliminate the gap. Start by pressing one leg out, and tapping the heel to the floor. ""As you extend one leg, exhale as much as you can, keeping your lower back glued to the floor,"" Dunham says. When you can’t exhale any more, pull your knee back to the starting position. Make this more difficult by holding weight in your hands, or by lowering opposite arm and leg.",Abs,[],[],[],[],beginner,['mixed']
152,Chin Up,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin.",Back,[],[],[6],[],beginner,['mixed']
189,Deficit Deadlift,"<p>Preparation</p>
<p>Stand on weight plate, bumper plate, or shallow elevated platform with loaded bar above feet. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.</p>
<p> </p>
<p>Execution</p>
<p>Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.</p>
<p> </p>
<p>Comments</p>
<p>Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip. Lever barbell jack can be used to lift barbell from floor for easier loading and unloading of weight plates.</p>
<p>Barbell Deficit Deadlift emphasizes building strength through lowest portion of Deadlift. Target muscle is exercised isometrically. Heavy barbell deadlifts significantly engages Latissmus Dorsi. See Barbell Deficit Deadlift under Gluteus Maximus. Also see Deadlift Analysis.</p>",Back,[],"[11, 8, 12, 6, 15]",[1],[],beginner,['mixed']
235,Flutter Kicks,"<p>-Laying on the back, lift your straightened legs from the ground at a 45 degree angle. </p>
<p>-As your Left foot travels downward and nearly touches the floor, your Right foot should seek to reach a 90 degree angle, or as close to one as possible.</p>
<p>-Bring your R foot down until it nearly touches the floor, and bring your L foot upwards.  Maintain leg rigidity throughout the exercise.  Your head should stay off the ground, supported by tightened upper abdominals.</p>
<p>-(L up R down, L down R up, x2)  ^v, v^, ^v, v^ = 1 rep</p>
<p>-Primarily works the Rectus Abdominus, the hip flexors and the lower back. Secondarily works the Obliques.  Emphasis placed on the lower quadrant of the abs.</p>
<p> </p>",Abs,"[14, 6]",[],[],[],beginner,['mixed']
184,Deadlifts,"<p>Stand firmly, with your feet slightly more than shoulder wide apart. Stand directly behind the bar where it should barely touch your shin, your feet pointing a bit out. Bend down with a straight back, the knees also pointing somewhat out. Grab the bar with a shoulder wide grip, one underhand, one reverse grip.</p>
<p>Pull the weight up. At the highest point make a slight hollow back and pull the bar back. Hold 1 or 2 seconds that position. Go down, making sure the back is not bent. Once down you can either go back again as soon as the weights touch the floor, or make a pause, depending on the weight.</p>",Back,[12],[8],[1],['https://wger.de/media/exercise-images/184/1709c405-620a-4d07-9658-fade2b66a2df.jpeg'],beginner,['mixed']
222,Facepull,"<p>Attach a rope to a pulley station set at about chest level.</p>
<p>Step back so you're supporting the weight with arms completely outstretched and assume a staggered (one foot forward) stance. Bend the knees slightly for a stable base.</p>
<p>Retract the scapulae (squeeze your partner's finger with your shoulder blades) and pull the center of the rope slightly up towards the face. A good cue is to think about pulling the ends of the rope apart, not just pulling back.</p>
<p>As you near your face, externally rotate so your knuckles are facing the ceiling.</p>
<p>Hold for one second at the top position and slowly lower.</p>",Shoulders,[9],[],[],[],beginner,['mixed']
193,Diagonal Shoulder Press,"<p>You sit at the bench press device, back slightly tilted to the back. The bar should be about 20 cm in front of you. Then you push the bar and take it back again, as you would with a bench press.</p>
<p>In this position you strain your chest muscles a lot less, which is nice if you want to train, but your chest hasn't recovered yet.</p>
<p>Here's a link to a girl on a machine specialized for this exercise, to give a better description than my failing words above.</p>
<p>http://www.schnell-online.de/db_imgs/products/img/t-80400.jpg</p>",Shoulders,[],[],[8],[],beginner,['mixed']
203,Dumbbell Goblet Squat,"<p>Grasp dumbbell with both hands at the sides of the upper plates. Hold dumbbell in front of chest, close to torso. Place feet about shoulderwide apart, keep knees slightly bent.</p>
<p>Squat down until thighs are parallel to floor. Keep back straight, bend and move hips backward to keep knees above feet. Return, keep knees slightly flexed. Repeat.</p>
<p>Keep bodyweight on heels and look ahead or slightly above to keep back straight.</p>",Legs,[10],[],[3],"['https://wger.de/media/exercise-images/203/1c052351-2af0-4227-aeb0-244008e4b0a8.jpeg', 'https://wger.de/media/exercise-images/203/2ab30113-4e08-4d39-9d23-d901ce2c0971.jpeg', 'https://wger.de/media/exercise-images/203/300a44ac-4368-48e2-8b18-beea32ab915d.gif']",beginner,['mixed']
185,Decline Bench Press Barbell,"<p>Lay down on a decline bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>",Chest,[4],[],[1],"['https://wger.de/media/exercise-images/100/Decline-bench-press-1.png', 'https://wger.de/media/exercise-images/100/Decline-bench-press-2.png']",beginner,['mixed']
186,Decline Bench Press Dumbbell,"<p>Take two dumbbells and sit on a decline bench, the feet are firmly on the floor, the head is resting the bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>",Chest,[4],[],[3],[],beginner,['mixed']
205,Dumbbell Lunges Standing,<p>.</p>,Legs,[10],[8],[3],[],beginner,['mixed']
914,Reverse EZ Bar Cable Curls,Standing in front of cable tower using a SZ Bar,Arms,[1],[],[2],[],beginner,['mixed']
926,Machine chest fly,"seated machine, straight back, slow exercise",Chest,[4],[],[],[],beginner,['mixed']
188,Decline Pushups,"<p>With your feet raised approximately 30cm on a platform, align your shoulders, elbows and hands, then perform regular pushups. This emphasises the clavicular fibers of the pectoralis major.</p>",Chest,[4],[2],[7],[],beginner,['mixed']
237,Fly With Cable,,Chest,[4],[],[],"['https://wger.de/media/exercise-images/122/Incline-cable-flyes-1.png', 'https://wger.de/media/exercise-images/122/Incline-cable-flyes-2.png']",beginner,['mixed']
206,Dumbbell Lunges Walking,"<p>Take two dumbbells in your hands, stand straight, feet about shoulder wide. Take one long step so that the front knee is approximately forming a right angle. The back leg is streched, the knee is low but doesn't touch the ground. ""Complete"" the step by standing up and repeat the movement with the other leg.</p>",Legs,[10],[8],[3],"['https://wger.de/media/exercise-images/113/Walking-lunges-1.png', 'https://wger.de/media/exercise-images/113/Walking-lunges-2.png', 'https://wger.de/media/exercise-images/113/Walking-lunges-3.png', 'https://wger.de/media/exercise-images/113/Walking-lunges-4.png']",beginner,['mixed']
239,"Fly With Dumbbells, Decline Bench","<p>The exercise is the same as with a regular bench:</p>
<p>Take two dumbbells and lay on a bench, make sure the feet are firmly on the ground and your back is not arched, but has good contact with the bench. The arms are stretched in front of you, about shoulder wide. Bend now the arms a bit and let them down with a half-circle movement to the side. Without changing the angle of the elbow bring them in a fluid movement back up.</p>",Chest,[4],[],[3],[],beginner,['mixed']
238,Fly With Dumbbells,"<p>Take two dumbbells and lay on a bench, make sure the feet are firmly on the ground and your back is not arched, but has good contact with the bench. The arms are stretched in front of you, about shoulder wide. Bend now the arms a bit and let them down with a half-circle movement to the side. Without changing the angle of the elbow bring them in a fluid movement back up.</p>",Chest,[4],[],[3],"['https://wger.de/media/exercise-images/238/2fc242d3-5bdd-4f97-99bd-678adb8c96fc.png', 'https://wger.de/media/exercise-images/238/c6464fb3-1924-4ff1-adfa-fd36da9b5d13.png']",beginner,['mixed']
204,Dumbbell Incline Curl,"<p>With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.</p>",Arms,[1],[13],[3],[],beginner,['mixed']
211,Dumbbell Triceps Extension,"<p>Position one dumbbell over head with both hands under inner plate (heart shaped grip).</p>
<p>With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.</p>",Arms,[5],"[2, 4]",[3],[],beginner,['mixed']
194,Dips,"A dip is an upper-body strength exercise. Narrow, shoulder-width dips primarily train the triceps, with major synergists being the anterior deltoid, the pectoralis muscles (sternal, clavicular, and minor), and the rhomboid muscles of the back (in that order).[1] Wide arm training places additional emphasis on the pectoral muscles, similar in respect to the way a wide grip bench press would focus more on the pectorals and less on the triceps.",Chest,"[4, 5]",[5],[7],['https://wger.de/media/exercise-images/194/34600351-8b0b-4cb0-8daa-583537be15b0.png'],beginner,['mixed']
197,Dips Between Two Benches,"<p>Put two benches so far appart, that you can hold onto one with your hands and are just able to reach the other with your feet. The legs stay during the exercise completely stretched. With your elbows facing back, bend them as much as you can. Push yourself up, but don't stretch out the arms.</p>",Arms,[5],[],[8],"['https://wger.de/media/exercise-images/83/Bench-dips-1.png', 'https://wger.de/media/exercise-images/83/Bench-dips-2.png']",beginner,['mixed']
208,Dumbbells on Scott Machine,,Arms,[1],[],[],[],beginner,['mixed']
254,Front Raises with Plates,,Shoulders,"[2, 9]",[],[],[],beginner,['mixed']
283,Hanging Leg Raises,"<p>Hanging from bar or straps, bring legs up with knees extended or flexed</p>",Abs,[6],[],[6],[],beginner,['mixed']
256,Front Raises,"<p>To execute the exercise, the lifter stands with their feet shoulder width apart and weights or resistance handles held by their side with a pronated (overhand) grip.</p>
<p>The movement is to bring the arms up in front of the body to eye level and with only a slight bend in the elbow. This isolates the anterior deltoid muscle (front of the shoulder) and uses the anterior deltoid to lift the weight.</p>
<p>When lifting it is important to keep the body still so the anterior deltoid is fully utilised; if the weight cannot be lifted by standing still then it is too heavy and a lower weight is needed. It is important to keep a slight bend in the elbow when lifting as keeping the elbow locked will add stress to the elbow joint and could cause injury.</p>
<p>A neutral grip, similar to that used in the hammer curl, can also be used. With this variation the weight is again raised to eye level, but out to a 45 degree angle from the front of the body. This may be beneficial for those with shoulder injuries, particularly those related to the rotator cuff.</p>",Shoulders,[2],[],"[1, 3]",['https://wger.de/media/exercise-images/256/b7def5bc-2352-499b-b9e5-fff741003831.png'],beginner,['mixed']
301,Hyperextensions,"<p>Lie on the hyperextension pillow with your navel at the front edge, allowing your upper body to hang freely. Tighten all your back muscles and raise your torso until you're horizontal, but no higher. Lower yourself slowly, maintaining a steady flow of muscles.</p>",Back,[9],[],[],"['https://wger.de/media/exercise-images/128/Hyperextensions-1.png', 'https://wger.de/media/exercise-images/128/Hyperextensions-2.png']",beginner,['mixed']
291,Hindu Squats,"<p>Start with your feet shoulder width apart and arms slightly behind your back.</p>
<p>As you descend towards the floor, raise your heels off the ground, while keeping your back as vertical  as possible. </p>
<p>Upon attaining the bottom position, touch the hands to the heels.</p>
<p>Then stand up ending with the heels on the ground, arms extended in front of the chest then rowing into the start position.</p>",Legs,[10],[8],[],[],beginner,['mixed']
257,Front Squats,<p>This variation of the squat trains the hamstrings and gluteus maximus. It also works the back extensors and abductors.</p>,Legs,[8],[6],[1],"['https://wger.de/media/exercise-images/191/Front-squat-1-857x1024.png', 'https://wger.de/media/exercise-images/191/Front-squat-2-857x1024.png']",beginner,['mixed']
285,High Knee Jumps,"<p>-Start with legs slightly wider than shoulder width</p>
<p>-Drop into a bodyweight squat</p>
<p>-As you hit the bottom of the squat, explode upwards into a jump while simultaneously tucking your knees into your chest midflight.  Remain tucked until the apex of your jump.</p>
<p>-Land on both feet, making sure your knees are not locked so as to avoid excessive strain upon your joints.  Collect yourself into the next rep as quickly but under control as possible.</p>",Cardio,"[11, 7, 10, 15]","[14, 6, 3]",[],[],beginner,['mixed']
275,Hammercurls on Cable,"<p>Take a cable in your hands (palms parallel, point to each other), the body is straight. Bend the arms and bring the weight up with a fast movement. Without any pause bring it back down with a slow, controlled movement, but don't stretch completely your arms.</p>
<p>Don't swing your body during the exercise, the biceps should do all the work here. The elbows are at your side and don't move.</p>",Arms,[1],[13],[],"['https://wger.de/media/exercise-images/138/Hammer-curls-with-rope-1.png', 'https://wger.de/media/exercise-images/138/Hammer-curls-with-rope-2.png']",beginner,['mixed']
901,Barbell Hip Thrust,"Sit on the ground with a bench behind you, bending your knees so your feet are planted on the ground and holding a barbell resting below your hips. If you have a padded bar, or anything you can slip in between the bar and your body, it will go a long way to making the exercise more comfortable.",Legs,[8],[],[1],[],beginner,['mixed']
915,BUS DRIVERS,"Sitting with a Weight Plate, used as wheel, in both hands; raised slightly below eye level",Shoulders,[2],[],[],[],beginner,['mixed']
272,Hammercurls,"<p>Hold two dumbbells and sit on a bench with a straight back, the shoulders are slightly rolled backwards. Your pals point to your body. Bend the arms and bring the weight up with a fast movement. Don't rotate your hands, as with the curls. Without any pause bring the dumbbell down with a slow, controlled movement.</p>
<p>Don't swing your body during the exercise, the biceps should do all the work here. The elbows are at your side and don't move.</p>",Arms,[1],[],[3],"['https://wger.de/media/exercise-images/86/Bicep-hammer-curl-1.png', 'https://wger.de/media/exercise-images/86/Bicep-hammer-curl-2.png']",beginner,['mixed']
279,Hand Grip,<p>chrome Hand Flex Grip to build up forearms muscles</p>,Arms,[],[],[],['https://wger.de/media/exercise-images/279/36605bc8-d7e1-43e1-87c1-b9cb50db62b2.webp'],beginner,['mixed']
245,Skullcrusher Dumbbells,"<p>Hold the dumbbells and lay down on a flat bench in such a way that around 1/4 of your head is over the edge. Stretch arms straight up and then lean dumbbells away from your toes to a 10-20 degree angle. Keep upper arm at this angle throughout exercise. Dumbbell shall not be amed at your head, but away over your head. This will maximise gain from exercise with load on triceps all the time.</p>
<p>Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move.</p>",Arms,[5],[],"[8, 3]",[],beginner,['mixed']
246,Skullcrusher SZ-bar,"<p>Hold the SZ-bar and lay down on a flat bench in such a way that around 1/4 of your head is over the edge. Stretch your arms with the bar and bend them so that the bar is lowered. Just before it touches your forehead, push it up.</p>
<p>Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move.</p>",Arms,[5],[],"[8, 2]","['https://wger.de/media/exercise-images/84/Lying-close-grip-triceps-press-to-chin-1.png', 'https://wger.de/media/exercise-images/84/Lying-close-grip-triceps-press-to-chin-2.png']",beginner,['mixed']
292,"Hip Raise, Lying","Lying down on your back, with your feet flat on the floor. Raise your hips up evenly as high as you can and hold for as long as you can.",Back,[],[],[7],[],beginner,['mixed']
259,Front Pull narrow,,Back,[12],"[1, 13]","[1, 2]",[],beginner,['mixed']
258,Front pull wide,,Back,[12],"[2, 1, 13]","[1, 2]",[],beginner,['mixed']
284,Hercules Pillars,<p>Grab two cables stand in the middle so both have tension and hold</p>,Arms,"[1, 13, 5]",[2],[],[],beginner,['mixed']
282,Handstand Pushup,"The handstand push-up (press-up) - also called the vertical push-up (press-up) or the inverted push-up (press-up) also called commandos- is a type of push-up exercise where the body is positioned in a handstand. For a true handstand, the exercise is performed free-standing, held in the air. To prepare the strength until one has built adequate balance, the feet are often placed against a wall, held by a partner, or secured in some other way from falling. Handstand pushups require significant strength, as well as balance and control if performed free-standing.",Shoulders,"[9, 5]",[],[7],[],beginner,['mixed']
294,Hip Thrust,"<p>The bar should go directly on your upper thigh, directly below your crotch. Your feet should be directly under your knees. Push your hips up so that you form a straight line from your knees to your shoulders. Use a pad for comfort.</p>",Legs,[8],[],"[1, 8]",[],beginner,['mixed']
289,High Pull,"<p>Use a light barbell, perform explosive lift up starting from underneath knee cap level. Lift/raise explosively using hips, at shoulder level. Tempo: 2111</p>",Shoulders,[2],[8],[],[],beginner,['mixed']
